Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento;Dir Viento;Temperatura;Temperatura;HR;Presion Baro;Red Solar;Precipitacion;BC ug/m3
01-01-2024 01:00;95;72;0;0;0;0;0;0;0;0;14,2;0;0;0;0;0;0
01-01-2024 02:00;153;116;0;0;0;0;0;0;0;0;14,4;0;0;0;0;0;0
01-01-2024 03:00;132;106;0;0;0;0;0;0;0;0;13,6;0;0;0;0;0;0
01-01-2024 04:00;62;44;0;0;0;0;0;0;0;0;13,4;0;0;0;0;0;0
01-01-2024 05:00;59;37;0;0;0;0;0;0;0;0;13,6;0;0;0;0;0;0
01-01-2024 06:00;72;37;0;0;0;0;0;0;0;0;12,9;0;0;0;0;0;0
01-01-2024 07:00;119;58;0;0;0;0;0;0;0;0;12,7;0;0;0;0;0;0
01-01-2024 08:00;66;36;0;0;0;0;0;0;0;0;15,7;0;0;0;0;0;0
01-01-2024 09:00;59;0;0;0;0;0;0;0;0;0;18,9;0;0;0;0;0;0
01-01-2024 10:00;58;15;0;0;0;0;0;0;0;0;21,7;0;0;0;0;0;0
01-01-2024 11:00;27;22;0;0;0;0;0;0;0;0;21,8;0;0;0;0;0;0
01-01-2024 12:00;0;22;0;0;0;0;0;0;0;0;22,7;0;0;0;0;0;0
01-01-2024 13:00;58;46;0;0;0;0;0;0;0;0;24,6;0;0;0;0;0;0
01-01-2024 14:00;64;31;0;0;0;0;0;0;0;0;24,3;0;0;0;0;0;0
01-01-2024 15:00;63;34;0;0;0;0;0;0;0;0;23,5;0;0;0;0;0;0
01-01-2024 16:00;53;37;0;0;0;0;0;0;0;0;21,7;0;0;0;0;0;0
01-01-2024 17:00;33;33;0;0;0;0;0;0;0;0;19,8;0;0;0;0;0;0
01-01-2024 18:00;0;30;0;0;0;0;0;0;0;0;17,4;0;0;0;0;0;0
01-01-2024 19:00;0;26;0;0;0;0;0;0;0;0;16,2;0;0;0;0;0;0
01-01-2024 20:00;55;25;0;0;0;0;0;0;0;0;15,6;0;0;0;0;0;0
01-01-2024 21:00;70;27;0;0;0;0;0;0;0;0;15,5;0;0;0;0;0;0
01-01-2024 22:00;102;40;0;0;0;0;0;0;0;0;15,9;0;0;0;0;0;0
01-01-2024 23:00;106;38;0;0;0;0;0;0;0;0;15,3;0;0;0;0;0;0
01-01-2024 24:00;88;46;0;0;0;0;0;0;0;0;15,1;0;0;0;0;0;0
