Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento 10M;Dir Viento 10M;Temperatura;HR;Presion Baro;Rad Solar;Precipitacion
01-12-2023 01:00;44;24;192,8;13,9;206,7;0;1,13;0,2;0;302;7,1;81,97;564;0;0
01-12-2023 02:00;50;30;264,9;13,2;278;0;1,13;0,2;0;349;5,9;82,48;564;0;0
01-12-2023 03:00;42;23;199,7;13,7;213,4;0;0,64;0,1;0;323;5,7;83,96;564;0;0
01-12-2023 04:00;30;18;144,2;9,6;153,9;0;0,4;0,2;0;311;4,9;83,77;564;0;0
01-12-2023 05:00;45;30;235,4;14,2;249,6;0;0,62;0,2;0,6;314;4,6;84,19;564;0;0
01-12-2023 06:00;54;30;174,1;17,1;191,3;0;0,68;0,3;0,8;31;6,3;86,02;564;0;0
01-12-2023 07:00;47;30;80,4;14,8;95,2;0;0,58;0,6;0,9;355;7,5;86,75;565;19;0
01-12-2023 08:00;68;34;61,9;14,1;76;0;0,55;2,8;1;336;9,9;87,1;565;163;0
01-12-2023 09:00;53;27;27,1;7,6;34,8;0;0,32;9,2;1;311;16,7;68,56;565;452;0
01-12-2023 10:00;20;8;8,3;0,4;8,7;0;0,09;15,3;1,4;155;19,8;43,56;565;602;0
01-12-2023 11:00;22;6;0;0;0;0;0,04;18,6;1,5;315;21,3;37,34;565;742;0
01-12-2023 12:00;17;7;0;0;0;0;0,04;19,6;1,8;181;22,3;32,72;564;770;0
01-12-2023 13:00;23;6;0;0;0;0;0,08;18,4;2;169;23,4;30;564;818;0
01-12-2023 14:00;24;5;0;0;0;0;0,08;18,3;2,2;176;24,1;28,57;563;751;0
01-12-2023 15:00;20;6;0;0;0;0;0,1;16,9;2,4;137;23,6;30,28;563;571;0
01-12-2023 16:00;24;8;9,8;2,6;12,3;0;0,14;14,8;2,1;117;23;32,3;563;344;0
01-12-2023 17:00;21;10;9,4;3,4;12,8;0;0,16;13,5;2,2;95;20,7;36,4;563;126;0
01-12-2023 18:00;23;10;8,5;6,7;15,2;0;0,2;11,2;1,7;115;16,9;49,05;563;2;0
01-12-2023 19:00;20;6;4,1;5;9;0;0,13;12,1;1,3;288;14,8;60,23;563;0;0
01-12-2023 20:00;0;8;6,4;5;11,4;0;0,15;11,7;1,8;204;14,2;64,61;564;0;0
01-12-2023 21:00;0;18;18,3;16,4;34,8;0;0,27;4;1,2;308;12,8;69,4;564;0;0
01-12-2023 22:00;0;17;52,8;17,6;70,3;0;0,57;1,3;0,6;303;10,5;73,6;564;0;0
01-12-2023 23:00;0;17;48,7;16,4;65,1;0;0,57;0,2;0,6;298;9,2;78,01;564;0;0
01-12-2023 24:00;0;26;105,1;14,9;119,9;0;0,89;0,3;0,6;316;8,1;79,28;564;0;0
02-12-2023 01:00;0;23;112,5;14;126,6;0;0,85;0,2;0,5;327;7,1;81,3;564;0;0
02-12-2023 02:00;0;25;159,4;13,4;172,8;0;1;0,2;0,5;341;6,4;82,45;563;0;0
02-12-2023 03:00;0;21;104,7;11,6;116,3;0;0,63;0,1;0,6;280;6,3;83,71;563;0;0
02-12-2023 04:00;0;31;167,7;12,1;179,9;0;0,78;0,3;0,5;301;5,3;83,29;563;0;0
02-12-2023 05:00;0;26;196,5;11,6;208,1;0;0,85;0,3;0,3;317;4,7;83,33;564;0;0
02-12-2023 06:00;0;32;163,3;12,4;175,8;0;0,71;0,2;0,4;319;4,7;83,95;564;0;0
02-12-2023 07:00;0;30;142,2;12,1;154,3;0;0,88;0,6;0,5;316;6,7;85,13;564;44;0
